,x,y,z
0,0.14518699999999998,0.573975,0.21199
1,0.21086100000000002,0.422745,0.24852
2,0.237564,0.380249,0.304764
3,0.164948,0.40631100000000003,0.281235
4,0.084747,0.514893,0.303604
5,-0.042892,0.650528,0.417633
6,-0.112793,0.679199,0.44735699999999995
7,-0.158066,0.691422,0.505707
8,-0.162476,0.779907,0.5677800000000001
9,-0.192123,0.91806,0.633591
10,-0.119019,0.982941,0.667664
11,-0.09550499999999999,1.138992,0.796524
12,-0.026489,1.249832,0.9141389999999999
13,0.042908,1.089127,0.9009860000000001
14,0.09088099999999999,0.807434,0.757675
15,0.451157,0.7195590000000001,0.560455
16,0.8594510000000001,1.066437,0.44906599999999997
17,0.951523,1.300079,0.438705
18,0.8802030000000001,1.677444,0.19162
19,0.735611,1.365845,0.282486
20,0.525803,0.132217,0.117249
21,0.770081,-0.617889,0.082001
22,0.687408,-0.013869999999999999,0.258972
23,0.377975,1.5366520000000001,0.11260999999999999
24,0.32243299999999997,2.047287,-0.6009220000000001
25,0.14163199999999998,1.558716,-0.262939
26,-0.043121,0.9339290000000001,0.145813
27,0.17569,0.685898,0.06842000000000001
28,0.23025500000000002,0.7488859999999999,-0.010634999999999999
29,0.319305,0.9133450000000001,-0.112518
30,0.128235,1.025452,-0.23994400000000002
31,-0.11955299999999999,0.998459,-0.18603499999999998
32,-0.08201599999999999,1.027771,-0.06428500000000001
33,-0.206085,1.145721,-0.180801
34,-0.202301,1.114609,-0.128616
35,-0.17381300000000002,1.041779,0.018295
36,-0.043869,1.1206969999999998,0.150162
37,0.084991,1.122787,0.278488
38,0.243973,0.884857,0.275345
39,0.410797,0.624496,0.166733
40,0.5779270000000001,0.5821689999999999,0.13020299999999999
41,0.652145,0.760605,0.065552
42,0.49177600000000005,1.1129149999999999,-0.035385
43,0.06675700000000001,1.395142,-0.021667
44,-0.237717,1.410873,-0.075943
45,-0.0021969999999999997,1.231049,-0.013350999999999998
46,0.139389,1.222107,0.131195
47,0.178238,1.362793,0.193985
48,0.35257,1.331879,0.181732
49,0.390244,1.390167,0.099426
50,0.358704,1.286362,0.103973
51,0.5004270000000001,1.302948,0.122269
52,0.6662600000000001,1.2683719999999998,0.203842
53,0.646362,1.051895,0.244232
54,0.512482,0.981094,0.250992
55,0.39018200000000003,1.095795,0.22277800000000003
56,0.37390100000000004,1.145859,0.15403699999999998
57,0.396027,1.067566,0.073074
58,0.48452799999999996,1.046753,0.095322
59,0.5160520000000001,1.09436,0.127701
60,0.430145,1.147614,0.325027
61,0.45820600000000006,1.0805360000000002,0.523972
62,0.49658199999999997,0.862869,0.44573999999999997
63,0.37561,0.7623439999999999,0.24151599999999998
64,0.25698899999999997,0.805756,0.246964
65,0.239304,0.9090879999999999,0.274673
66,0.22000100000000003,0.8706209999999999,0.253922
67,0.171692,0.65242,0.26384
68,0.077606,0.2285,0.405212
69,0.086746,0.14913900000000002,0.552216
70,-0.012145999999999999,0.408279,0.5584560000000001
71,-0.056351,0.47842399999999996,0.5268550000000001
72,-0.071121,0.366852,0.539566
73,-0.09448200000000001,0.35342399999999996,0.6646880000000001
74,-0.064316,0.416641,0.627274
75,-0.056152,0.427017,0.411484
76,-0.0215,0.462067,0.416275
77,0.184601,0.495255,0.49058500000000005
78,0.556137,0.547333,0.744446
79,0.41517600000000005,0.8613129999999999,0.8542629999999999
80,0.144119,1.1921389999999998,0.36554000000000003
81,0.313629,1.159073,0.264572
82,0.175797,0.939148,0.36138899999999996
83,0.20809899999999998,0.706924,0.363342
84,0.227463,0.776443,0.270004
85,0.24989299999999998,1.110199,0.25616500000000003
86,0.24620100000000003,1.36261,0.247177
87,0.21208200000000002,1.25679,0.415756
88,0.203964,1.000717,0.38736
89,0.337463,0.907227,0.353378
90,0.267731,0.955368,0.181366
91,0.1362,1.1090389999999999,0.184341
92,0.117966,1.192841,0.338593
93,0.146347,1.128067,0.356827
94,0.23152199999999998,0.9731139999999999,0.265121
95,0.338501,0.8473209999999999,0.133499
96,0.423279,1.0189059999999999,-0.07743799999999999
97,0.41001899999999997,1.500748,-0.029189999999999997
98,0.28178400000000003,1.8973689999999999,0.018143
99,0.181976,1.615967,0.338455
100,0.367935,1.137527,0.48494
101,0.352066,1.055252,0.52951
102,0.070892,1.0156100000000001,0.62117
103,-0.16246,0.802963,0.540466
104,-0.228088,0.60939,0.24484299999999998
105,-0.220627,0.5837859999999999,-0.190247
106,-0.06163,0.652435,-0.36055
107,0.26379400000000003,0.904358,0.114319
108,0.6915439999999999,1.182419,0.652496
109,0.8638459999999999,1.372757,0.5925600000000001
110,0.943817,1.608032,0.425491
111,0.814713,1.1624450000000002,0.450546
112,0.334061,0.688187,0.200241
113,0.106995,0.9598540000000001,0.29686
114,0.03157,1.274658,0.378677
115,0.036255,1.370331,0.472839
116,0.193207,1.107712,0.689041
117,0.153503,0.5968479999999999,0.56958
118,0.110062,0.327377,0.45449799999999996
119,0.052841,0.44660900000000003,0.48175
120,0.018356,0.563034,0.473312
121,-0.031708,0.5488430000000001,0.47256499999999996
122,-0.061447,0.20517,0.419022
123,-0.09338400000000001,-0.027679000000000002,0.22699
124,-0.29133600000000004,0.190445,0.23716700000000002
125,-0.174805,0.368713,0.192108
126,0.204483,-0.030853,0.189636
127,0.453842,-0.184082,0.650223
128,0.172684,0.844391,0.620224
129,0.418182,1.439346,0.026962
130,0.853836,2.1287990000000003,0.642044
131,0.328827,1.375427,0.404694
132,0.11561600000000001,0.581451,0.27507
133,0.163589,0.38162199999999996,0.36778299999999997
134,0.287155,0.7619630000000001,0.311844
135,0.39679000000000003,1.231583,0.35791
136,0.361252,1.37204,0.320343
137,0.22987399999999997,1.159241,0.333633
138,0.180161,0.9708559999999999,0.254684
139,0.192093,1.012817,0.22380100000000003
140,0.24090599999999998,1.052689,0.25174
141,0.296875,1.039505,0.306198
142,0.29836999999999997,1.000687,0.33853099999999997
143,0.311676,1.036392,0.252136
144,0.28884899999999997,1.141281,0.263351
145,0.24630700000000003,1.175201,0.19233699999999998
146,0.300186,1.1770479999999999,0.151505
147,0.35742199999999996,1.185928,0.30455
148,0.24246199999999998,1.171936,0.209244
149,0.09275800000000001,0.995834,0.324524
150,0.055099,0.9573209999999999,0.42469799999999996
151,0.094696,0.982559,0.43267799999999995
152,0.13226300000000002,0.906433,0.47966000000000003
153,0.190094,0.843231,0.229965
154,0.196411,0.743896,-0.08606
155,0.12667799999999999,0.736496,-0.065216
156,0.186829,0.87674,0.22921799999999998
157,0.44126899999999997,1.362762,0.43734700000000004
158,0.677872,1.4086,0.17395
159,0.641373,1.331299,0.125137
160,0.475616,1.253387,0.442978
161,0.42776499999999995,0.809387,0.755188
162,0.431076,0.972809,0.40992700000000004
163,0.36438000000000004,1.185669,0.220154
164,0.191971,1.334457,0.6053470000000001
165,0.093567,1.160431,0.622528
166,0.124054,0.903961,0.46200600000000003
167,-0.056213,0.655457,0.397125
168,-0.022125,0.3405,0.512466
169,0.088776,0.325928,0.641724
170,0.119843,0.616531,0.690247
171,-0.021317,0.767151,0.605194
172,-0.157898,0.46733100000000005,0.483231
173,-0.26265,0.15303,0.417862
174,-0.20550500000000002,0.008514,0.17717
175,0.088806,-0.043213,-0.051605
176,0.336319,-0.148026,0.21133400000000002
177,0.564163,-0.091675,0.87854
178,0.13623,0.900543,0.149857
179,0.44419899999999995,1.6537169999999999,-0.070587
180,0.612305,2.132721,0.38259899999999997
181,0.207504,1.342697,0.348419
182,0.16819800000000001,0.486572,0.362152
183,0.281876,0.345642,0.307419
184,0.44154399999999994,0.756134,0.23893699999999998
185,0.478058,1.203873,0.316788
186,0.390808,1.366852,0.24635300000000002
187,0.278854,1.300705,0.254166
188,0.171005,1.126785,0.24246199999999998
189,0.186218,1.010025,0.24900799999999998
190,0.273819,0.9641879999999999,0.253265
191,0.351761,1.012924,0.335388
192,0.388321,1.172028,0.252151
193,0.38250700000000004,1.3653870000000001,0.108704
194,0.372726,1.567795,0.202927
195,0.294159,1.5743260000000001,0.25613400000000003
196,0.26574699999999996,1.136124,0.571426
197,0.247955,0.9448700000000001,0.599014
198,0.08709700000000001,0.8769680000000001,0.423828
199,0.0186,0.6618649999999999,0.306427
200,0.133408,0.536621,0.291
201,0.046173,0.716812,0.129547
202,-0.213608,1.0043950000000001,-0.12066700000000001
203,-0.21636999999999998,1.238602,-0.212601
204,0.255417,1.420044,0.10429400000000001
